date,net_daily_return
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,0.00015804774095092561
2013-04-08,-0.00022387901266026375
2013-04-09,-0.00020000000000000004
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0004208669422617486
2013-04-18,0.0022004076131624203
2013-04-19,-0.0002000000000000001
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,-0.0013713291023218046
2013-05-06,-0.00020000000000000004
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,-0.002052795146041136
2013-05-24,0.0042988675694617135
2013-05-28,0.0008021060817208502
2013-05-29,0.0011547212675627964
2013-05-30,-0.0002000000000000001
2013-05-31,0.0020408152974311913
2013-06-03,-0.00020000000000000004
2013-06-04,-0.0010864615602368826
2013-06-05,-0.0007080805534808801
2013-06-06,0.0016356290962319868
2013-06-07,-0.00019999999999999998
2013-06-10,0.0
2013-06-11,0.0015545078926210724
2013-06-12,-0.00020000000000000004
2013-06-13,0.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,0.001359265929086622
2013-06-21,-0.00019999999999999993
2013-06-24,0.004436394396441961
2013-06-25,-0.0002000000000000001
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-05,0.0
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.0
2013-07-12,0.0020683714074646777
2013-07-15,-0.00020000000000000006
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-25,-0.00017501476006665653
2013-07-26,-0.0006866970008106315
2013-07-29,-0.0012016489315499655
2013-07-30,-0.00019999999999999993
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0014465797112175507
2013-08-05,-0.00019999999999999998
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,0.0017199302516112823
2013-08-16,0.0004904414277822485
2013-08-19,-0.00019999999999999993
2013-08-20,-0.0014590436132391241
2013-08-21,-0.00019999999999999993
2013-08-22,0.0
2013-08-23,0.0
2013-08-26,0.0
2013-08-27,-0.000535551531211057
2013-08-28,-0.00019564586398858707
2013-08-29,-0.00020000000000000004
2013-08-30,0.0
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-16,0.0
2013-09-17,-0.00044433287463495856
2013-09-18,-0.00019999999999999998
2013-09-19,0.0
2013-09-20,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,-0.0026201811455994
2013-09-30,-0.0014436201563877843
2013-10-01,-0.00019999999999999993
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-14,0.0
2013-10-15,0.0005673641033013642
2013-10-16,-0.00020000000000000004
2013-10-17,0.0
2013-10-18,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,0.0
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,-3.522979820697779e-05
2013-11-14,-0.00019999999999999998
2013-11-15,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-29,0.0
2013-12-02,0.0
2013-12-03,-0.00042352564895221603
2013-12-04,1.0813064043455168e-05
2013-12-05,0.0016096468838628685
2013-12-06,-0.00020000000000000004
2013-12-09,0.0
2013-12-10,0.0
2013-12-11,-0.00017898252735927645
2013-12-12,-0.00020000000000000004
2013-12-13,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.0
2013-12-20,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0013786686588650756
2014-01-09,-0.00019999999999999993
2014-01-10,0.0
2014-01-13,0.0030826324489605884
2014-01-14,0.001337434421448464
2014-01-15,-0.0002
2014-01-16,0.0
2014-01-17,0.0028991016717078585
2014-01-21,-0.00020000000000000006
2014-01-22,0.0
2014-01-23,-0.0011475448390556398
2014-01-24,-9.288282462576062e-05
2014-01-27,0.003562942001497105
2014-01-28,-0.0005718518983619639
2014-01-29,0.006607452759860466
2014-01-30,-0.00020000000000000004
2014-01-31,0.0014871619462182197
2014-02-03,-0.00020000000000000004
2014-02-04,0.0
2014-02-05,-0.0008907327800377542
2014-02-06,-0.00019999999999999998
2014-02-07,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0011287280794658487
2014-02-14,-0.00020000000000000004
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,0.0
2014-03-11,0.0
2014-03-12,0.00169973587976306
2014-03-13,-0.0002
2014-03-14,0.0019603292711957024
2014-03-17,-0.0002
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,0.0
2014-04-01,0.0004316930606509807
2014-04-02,0.00014805823418993032
2014-04-03,-0.00020000000000000006
2014-04-04,0.0
2014-04-07,0.002034419275983411
2014-04-08,0.003792683455316978
2014-04-09,0.00015625073136818292
2014-04-10,-0.003493567307983318
2014-04-11,0.0029474545217345978
2014-04-14,-0.00019999999999999998
2014-04-15,0.00353801275157015
2014-04-16,-0.00020000000000000012
2014-04-17,0.0018610128292233777
2014-04-21,0.0009761271900005652
2014-04-22,0.0010416051287256871
2014-04-23,-0.0002000000000000001
2014-04-24,-0.0030176568825867334
2014-04-25,0.0008938221323431312
2014-04-28,-0.00019999999999999998
2014-04-29,-0.00228556155679737
2014-04-30,0.0011175759963162185
2014-05-01,-0.00020000000000000004
2014-05-02,0.0
2014-05-05,2.0077966572638462e-06
2014-05-06,-0.00019999999999999993
2014-05-07,0.0
2014-05-08,-0.0023207560450871634
2014-05-09,-0.00019999999999999998
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0004855436509051802
2014-05-16,-0.00020000000000000006
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-06-02,0.0
2014-06-03,-0.0015467740511151914
2014-06-04,0.0010523430867805674
2014-06-05,-0.00020000000000000004
2014-06-06,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,-0.00010531314113708492
2014-06-12,-0.00020000000000000004
2014-06-13,0.0
2014-06-16,0.0009782603706617497
2014-06-17,0.0005651369858582705
2014-06-18,-0.0002
2014-06-19,0.0
2014-06-20,0.0
2014-06-23,0.0
2014-06-24,0.0006194970965847811
2014-06-25,0.0008972210251610141
2014-06-26,-0.0003799969659715464
2014-06-27,0.0012430345347177298
2014-06-30,-0.00019999999999999998
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-07,0.0
2014-07-08,0.0007503278424252596
2014-07-09,-0.005160439003633309
2014-07-10,0.0009733611541118416
2014-07-11,0.002299761386652018
2014-07-14,-0.0002
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,0.0007890627812027601
2014-07-18,-0.00019999999999999998
2014-07-21,0.0023388578329448287
2014-07-22,-0.00019999999999999993
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0013571353023523905
2014-07-28,-0.0002
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,-0.0008079869824434133
2014-08-01,-0.00020000000000000004
2014-08-04,0.0
2014-08-05,-0.003286743209664658
2014-08-06,0.0016895147362404382
2014-08-07,-0.00019999999999999998
2014-08-08,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,0.0
2014-08-22,0.0
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,-0.0001384879744004557
2014-09-08,-0.0004199359164854277
2014-09-09,-0.0002
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-15,0.0
2014-09-16,0.0004254584933969021
2014-09-17,-0.00019999999999999998
2014-09-18,0.0
2014-09-19,0.0
2014-09-22,-0.001577711072724601
2014-09-23,0.001188427567434116
2014-09-24,-0.0005686166825713951
2014-09-25,-0.00019999999999999998
2014-09-26,-0.0025109341771627665
2014-09-29,0.00034595150058037787
2014-09-30,-0.00019999999999999993
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.0
2014-10-06,0.0
2014-10-07,-0.0007362767574288884
2014-10-08,-0.00019999999999999998
2014-10-09,0.0
2014-10-10,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,-0.0033717121730601814
2014-10-16,0.0011926336116068331
2014-10-17,-0.0002
2014-10-20,0.0
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-28,0.0
2014-12-01,-0.001720084297778124
2014-12-02,-0.00019999999999999998
2014-12-03,-0.0037752000066033605
2014-12-04,-0.00020000000000000004
2014-12-05,0.0
2014-12-08,-0.002646831253697181
2014-12-09,-0.0004961574207861754
2014-12-10,6.774521251198614e-05
2014-12-11,-0.00020000000000000004
2014-12-12,0.001752903997883186
2014-12-15,-0.00020000000000000006
2014-12-16,-0.000450829661462366
2014-12-17,-0.0002
2014-12-18,0.0
2014-12-19,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.0
2014-12-26,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-02,0.0
2015-01-05,-0.00040327226494363825
2015-01-06,-0.00020000000000000004
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.00014099504513480923
2015-01-15,-0.00020000000000000004
2015-01-16,-0.0009584432978909653
2015-01-20,-0.00019999999999999998
2015-01-21,0.0017708800745750075
2015-01-22,-0.00019999999999999998
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0047633301413791225
2015-02-02,-0.00019999999999999993
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-06,-0.0011162777280101165
2015-07-07,-0.00020000000000000004
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.00274518122800751
2015-07-20,-0.0002
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-27,0.0015158846919689447
2015-07-28,-0.0002
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0035814786546557987
2015-08-10,-0.00019999999999999998
2015-08-11,-0.0032994789459669404
2015-08-12,-0.0022843363900924133
2015-08-13,-0.00020000000000000006
2015-08-14,-0.0017427522804956614
2015-08-17,0.004563340450642104
2015-08-18,-0.0002
2015-08-19,-0.0011243137376684155
2015-08-20,-0.006987004501813127
2015-08-21,-0.021384750563737377
2015-08-24,0.014474211951643815
2015-08-25,0.0031105248391544065
2015-08-26,-0.0003605184397236925
2015-08-27,-0.003107859330443637
2015-08-28,-0.003202753368082063
2015-08-31,0.0004899099460342576
2015-09-01,0.0020409868061804404
2015-09-02,1.886681757657864e-05
2015-09-03,-0.0001999999999999999
2015-09-04,0.0
2015-09-08,0.0024270981302858975
2015-09-09,-0.001045682955929904
